"word","nearest_phon_rank","nearest_phon","stage"
"lose",1,"lose","Early"
"puff",6,"pub","Early"
"share",4,"shear","Early"
"that",42,"cyst","Early"
"hum",1,"hum","Early"
"louse",42,"lawn","Early"
"their",9,"sear","Early"
"chute",335,"chill","Early"
"lane",3,"lean","Early"
"call",1,"call","Early"
"life",12,"lymph","Early"
"knock",12,"non","Early"
"wrap",252,"palm","Early"
"root",5,"rot","Early"
"flay",6,"flail","Early"
"goat",28,"colt","Early"
"gob",2,"calm","Early"
"tome",3,"tomb","Early"
"dim",1,"dim","Early"
"hide",2,"hill","Early"
"shock",6,"shod","Early"
"map",1,"map","Early"
"lab",3,"lamb","Early"
"read",6,"real","Early"
"east",19,"and","Early"
"tab",4,"top","Early"
"bit",3,"pit","Early"
"pail",3,"pane","Early"
"knead",13,"mean","Early"
"ride",3,"rile","Early"
"thin",1,"thin","Early"
"noon",2,"known","Early"
"gauche",47,"gall","Early"
"with",2,"whiz","Early"
"bout",162,"pawn","Early"
"sieve",29,"sin","Early"
"myth",2,"miss","Early"
"true",30,"tread","Early"
"orb",20,"art","Early"
"much",4,"mush","Early"
"fuss",3,"fuzz","Early"
"mess",1,"mess","Early"
"bead",13,"bent","Early"
"hooch",15,"hose","Early"
"touch",354,"pawn","Early"
"dish",26,"din","Early"
"near",4,"mare","Early"
"tray",7,"trill","Early"
"hiss",2,"his","Early"
"nude",154,"nun","Early"
"sin",1,"sin","Early"
"pack",2,"pact","Early"
"rain",5,"ring","Early"
"has",1,"has","Early"
"for",4,"far","Early"
"hoc",3,"hop","Early"
"walk",157,"want","Early"
"cole",2,"call","Early"
"dill",1,"dill","Early"
"lob",1,"lob","Early"
"here",4,"hare","Early"
"fore",2,"for","Early"
"rack",1,"rack","Early"
"jug",5,"shun","Early"
"dumb",1,"dumb","Early"
"young",17,"yawn","Early"
"seek",56,"seen","Early"
"toll",3,"tall","Early"
"goon",3,"cone","Early"
"sick",2,"sink","Early"
"sill",1,"sill","Early"
"wet",4,"west","Early"
"chic",101,"chin","Early"
"door",2,"tore","Early"
"nor",5,"mar","Early"
"caught",17,"call","Early"
"serve",118,"three","Early"
"rut",1,"rut","Early"
"jam",2,"sham","Early"
"than",7,"thin","Early"
"mock",1,"mock","Early"
"chip",6,"shim","Early"
"route",18,"ruse","Early"
"pan",1,"pan","Early"
"tick",1,"tick","Early"
"gone",1,"gone","Early"
"well",1,"well","Early"
"bike",52,"pin","Early"
"weep",1,"weep","Early"
"file",2,"fill","Early"
"should",48,"shawl","Early"
"keen",1,"keen","Early"
"gage",21,"gain","Early"
"gel",30,"keel","Early"
"cock",1,"cock","Early"
"foam",2,"fawn","Early"
"lip",1,"lip","Early"
"moss",1,"moss","Early"
"rude",53,"run","Early"
"those",31,"fawn","Early"
"pub",1,"pub","Early"
"soil",20,"sill","Early"
"fiche",56,"fin","Early"
"loaf",36,"lose","Early"
"nice",6,"nine","Early"
"shut",7,"shun","Early"
"sought",87,"sun","Early"
"sack",1,"sack","Early"
"leash",27,"less","Early"
"gig",5,"kin","Early"
"cope",21,"calm","Early"
"dug",17,"ton","Early"
"mom",1,"mom","Early"
"fawn",6,"fond","Early"
"piece",22,"pin","Early"
"lit",2,"list","Early"
"would",38,"wall","Early"
"stay",22,"still","Early"
"rare",2,"rear","Early"
"reap",7,"rim","Early"
"vein",109,"thin","Early"
"vile",4,"file","Early"
"gave",10,"game","Early"
"phase",3,"feint","Early"
"zone",5,"sewn","Early"
"cowl",9,"call","Early"
"tack",2,"tact","Early"
"news",167,"knelt","Early"
"sear",1,"sear","Early"
"less",1,"less","Early"
"buss",5,"bust","Early"
"sun",1,"sun","Early"
"tame",3,"team","Early"
"rail",4,"rile","Early"
"boom",2,"pawn","Early"
"cut",1,"cut","Early"
"hell",1,"hell","Early"
"chaise",5,"chain","Early"
"beek",26,"bead","Early"
"these",30,"seen","Early"
"loot",13,"lawn","Early"
"whore",9,"war","Early"
"tall",1,"tall","Early"
"fell",3,"fill","Early"
"look",10,"lot","Early"
"lace",6,"laze","Early"
"dry",2,"try","Early"
"teeth",124,"tent","Early"
"taught",98,"dawn","Early"
"surf",79,"three","Early"
"cat",6,"cost","Early"
"nick",3,"mink","Early"
"size",14,"sin","Early"
"raid",32,"rile","Early"
"yen",3,"when","Early"
"pyre",123,"par","Early"
"chill",2,"shill","Early"
"roof",22,"rob","Early"
"beam",1,"beam","Early"
"lull",1,"lull","Early"
"seam",4,"sin","Early"
"deaf",133,"deem","Early"
"pull",4,"pall","Early"
"need",11,"kneel","Early"
"fly",1,"fly","Early"
"notch",37,"non","Early"
"teak",5,"teen","Early"
"few",3,"flee","Early"
"seep",14,"seam","Early"
"fife",19,"fin","Early"
"seat",22,"scent","Early"
"arm",1,"arm","Early"
"beet",18,"peal","Early"
"mush",2,"muss","Early"
"peer",7,"pair","Early"
"bash",9,"pass","Early"
"far",1,"far","Early"
"old",5,"and","Early"
"note",26,"known","Early"
"said",104,"sin","Early"
"laid",23,"lean","Early"
"draw",29,"drill","Early"
"glee",2,"glean","Early"
"wait",10,"wane","Early"
"badge",202,"bean","Early"
"deer",18,"dare","Early"
"sole",3,"seal","Early"
"bade",9,"pane","Early"
"coal",2,"cole","Early"
"fry",1,"fry","Early"
"shun",1,"shun","Early"
"toot",12,"taunt","Early"
"pair",4,"peer","Early"
"mob",3,"mom","Early"
"male",1,"male","Early"
"goad",15,"colt","Early"
"heel",2,"hell","Early"
"lope",36,"lob","Early"
"wreath",12,"real","Early"
"home",1,"home","Early"
"pool",3,"pole","Early"
"tang",2,"tan","Early"
"wade",3,"wane","Early"
"dad",6,"dint","Early"
"will",1,"will","Early"
"heat",2,"hint","Early"
"quo",6,"quell","Early"
"roll",2,"rule","Early"
"vote",32,"phone","Early"
