"word","nearest_phon_rank","nearest_phon","stage"
"aft",1,"aft","Early"
"and",1,"and","Early"
"angst",1486,"pot","Early"
"ant",1,"ant","Early"
"apt",1,"apt","Early"
"arc",13,"watch","Early"
"arch",11,"watch","Early"
"arm",67,"pall","Early"
"art",59,"posh","Early"
"ask",1,"ask","Early"
"aunt",4,"oust","Early"
"babe",1005,"pip","Early"
"back",41,"pick","Early"
"bad",316,"pot","Early"
"bade",1013,"pit","Early"
"badge",368,"pot","Early"
"bag",293,"pick","Early"
"bail",716,"pit","Early"
"bait",526,"pit","Early"
"bake",281,"pick","Early"
"bald",1717,"pot","Early"
"bale",644,"piss","Early"
"ball",301,"pall","Early"
"ban",146,"pit","Early"
"band",979,"pit","Early"
"bang",482,"pit","Early"
"bank",1066,"pick","Early"
"bar",120,"posh","Early"
"bard",1219,"posh","Early"
"barge",975,"posh","Early"
"bark",1135,"posh","Early"
"barn",1554,"posh","Early"
"barre",686,"par","Early"
"base",394,"piss","Early"
"bash",13,"posh","Early"
"bass",19,"piss","Early"
"bat",65,"pit","Early"
"batch",23,"pitch","Early"
"bath",103,"posh","Early"
"bathe",1104,"posh","Early"
"beach",31,"pitch","Early"
"bead",328,"pit","Early"
"beak",83,"pick","Early"
"beam",145,"pip","Early"
"bean",160,"pit","Early"
"bear",1102,"pitch","Early"
"beard",1733,"pitch","Early"
"beat",67,"pit","Early"
"beck",268,"pick","Early"
"bed",635,"pit","Early"
"beech",25,"pitch","Early"
"beef",90,"pith","Early"
"beek",63,"pick","Early"
"been",59,"pit","Early"
"beep",48,"pip","Early"
"beer",428,"pitch","Early"
"beet",54,"pit","Early"
"beg",565,"pick","Early"
"beige",930,"piss","Early"
"belch",1314,"pitch","Early"
"bell",295,"pill","Early"
"belle",215,"pill","Early"
"belt",1184,"pit","Early"
"bench",1160,"piss","Early"
"bend",1456,"pit","Early"
"bent",1115,"pit","Early"
"berth",129,"pus","Early"
"best",696,"piss","Early"
"bet",287,"pit","Early"
"bib",62,"pip","Early"
"bid",64,"pit","Early"
"bide",232,"pit","Early"
"bike",51,"pick","Early"
"bile",173,"piss","Early"
"bill",8,"pill","Early"
"bin",15,"pin","Early"
"bind",865,"pin","Early"
"bing",102,"pit","Early"
"binge",719,"piss","Early"
"birch",25,"pitch","Early"
"bird",596,"pot","Early"
"birth",139,"posh","Early"
"bit",8,"pit","Early"
"bitch",3,"pitch","Early"
"bite",66,"pit","Early"
"black",342,"lick","Early"
"blame",1574,"lip","Early"
"blanch",1517,"sit","Early"
"bland",1765,"sit","Early"
"blank",1821,"sock","Early"
"blast",1122,"lot","Early"
"blaze",1457,"lit","Early"
"bleak",291,"lick","Early"
"bleed",726,"lit","Early"
"bleep",352,"lip","Early"
"blend",2117,"sit","Early"
"bless",800,"lit","Early"
"blew",40,"plea","Early"
"blight",412,"lit","Early"
"blimp",878,"lip","Early"
"blind",1749,"sin","Early"
"bliss",66,"lit","Early"
"blitz",879,"lit","Early"
"bloat",940,"lot","Early"
"blob",385,"lop","Early"
"bloc",113,"lot","Early"
"block",126,"lock","Early"
"bloke",618,"lock","Early"
"blond",1455,"lot","Early"
"blood",717,"lot","Early"
"blot",66,"lot","Early"
"blouse",506,"lot","Early"
"blow",12,"lot","Early"
"blue",10,"plea","Early"
"bluff",8,"tough","Early"
"blunt",593,"son","Early"
"blur",85,"lush","Early"
"blush",16,"lush","Early"
"boar",595,"posh","Early"
"board",1986,"posh","Early"
"boast",1053,"pot","Early"
"boat",436,"pot","Early"
"bob",62,"pop","Early"
"bog",76,"pot","Early"
"boil",924,"pit","Early"
"bomb",9,"palm","Early"
"bond",662,"pot","Early"
"bone",807,"pot","Early"
"bong",215,"pot","Early"
"book",74,"pick","Early"
"boom",401,"pop","Early"
"boon",497,"pit","Early"
"boost",866,"piss","Early"
"booth",193,"piss","Early"
"booze",445,"piss","Early"
"bop",5,"pop","Early"
"bore",526,"posh","Early"
"born",1957,"posh","Early"
"borne",1803,"pall","Early"
"boss",3,"pus","Early"
"both",733,"pot","Early"
"bought",10,"pot","Early"
"bounce",1049,"pot","Early"
